,AttorneyUno,Total Hours,Ethnicities,Imprisoned,Male,Female,OtherGender,Juvenile,Family and Children,Individual Rights,Housing and Homelessness,"Work, Employment and Unemployment",Other,Health and Disability,Consumer Financial Questions,Income Maintenance,Education,"Family, Divorce, and Custody",Housing or Property,Debts and Purchases,Civil and Constitutional Rights,Wills and Inheritance,Work,Personal Injury
74,01344940-9EE2-451B-8587-41AD8A7F9292,4.4,"['Caucasian', '', ""I'd rather not answer""]",0.0,20.0,53.0,26.0,0.0,15.0,2.0,31.0,2.0,37.0,0.0,32.0,0.0,0.0,6.0,34.0,28.0,2.0,0.0,8.0,1.0
75,BB6317EC-E805-4F29-BD7B-6CD17A4A65FF,0.3,"['Caucasian', 'African American', '']",0.0,447.0,1085.0,168.0,0.0,1388.0,8.0,166.0,3.0,308.0,3.0,77.0,1.0,1.0,1115.0,201.0,41.0,16.0,0.0,44.0,28.0
76,3002AE41-82E1-4EF9-9DD3-AFA1D78D9C5A,37.45,"['Caucasian', 'African American', '']",0.0,75.0,145.0,18.0,2.0,162.0,4.0,19.0,8.0,79.0,3.0,21.0,2.0,0.0,108.0,26.0,15.0,5.0,0.0,16.0,6.0
77,FA45D484-F27C-42E8-8D72-89727134AB84,3.6,"['Caucasian', 'African American', ""I'd rather not answer""]",0.0,4.0,6.0,1.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0
78,04129E5C-0C46-4A6C-A6AD-5753AC5A695B,464.0,"['', 'Caucasian', 'African American']",0.0,94.0,366.0,461.0,1.0,506.0,11.0,254.0,17.0,211.0,0.0,56.0,0.0,2.0,401.0,263.0,46.0,12.0,0.0,61.0,1.0
79,0A1395D8-130C-4405-9281-332F2F93AC6C,52.300000000000004,"['Caucasian', 'Not Hispanic or Latino', 'African American']",0.0,54.0,123.0,17.0,0.0,17.0,4.0,107.0,2.0,50.0,0.0,42.0,0.0,1.0,5.0,111.0,31.0,4.0,0.0,12.0,2.0
80,AF8F3B96-9879-48EF-AFD4-C4DF92CE843F,326.2,"['Caucasian', 'Not Hispanic or Latino', 'African American']",0.0,132.0,338.0,53.0,1.0,31.0,13.0,174.0,28.0,356.0,1.0,49.0,1.0,0.0,14.0,264.0,15.0,16.0,0.0,81.0,2.0
81,0138B377-B51A-49E9-8C87-17348255F16A,5.3,"['', 'Caucasian,Slavic', 'Caucasian,Other']",0.0,2.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
82,31DD8175-3EA4-45E1-81F2-09DE7A30AB3E,258.2,"['', 'Caucasian', 'African American']",1.0,361.0,1075.0,1229.0,0.0,1677.0,27.0,197.0,134.0,910.0,20.0,58.0,15.0,72.0,1677.0,197.0,192.0,0.0,0.0,154.0,0.0
83,0148A9CC-1053-4352-B8C2-6FC964709143,2.0,['Caucasian'],0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84,01543E1A-D733-47A6-A469-85D5F9080CDF,1.2000000000000002,[''],0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
85,E628C767-2F8B-4DAA-B7F3-367C615D1160,168.0,"['Caucasian', 'Native Hawaiian / Pacific Islander', 'Asian']",0.0,225.0,541.0,112.0,0.0,463.0,8.0,181.0,0.0,138.0,0.0,195.0,9.0,0.0,416.0,181.0,109.0,0.0,47.0,9.0,0.0
86,01565E79-BB5E-4B52-8E31-AE8250C2D43E,4.7,"['Caucasian', 'Latino or Hispanic', 'African American']",0.0,3.0,16.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
87,A2DCEA76-87FD-4E8E-A5D4-EC61422C6438,38.800000000000004,"['Caucasian', 'Not Hispanic or Latino', '']",0.0,134.0,189.0,47.0,1.0,171.0,12.0,83.0,16.0,121.0,7.0,9.0,5.0,2.0,166.0,83.0,10.0,12.0,13.0,25.0,4.0
88,8E86AB8B-79D0-40A0-8B63-36AB43959712,110.9,"['Caucasian', '', ""I'd rather not answer""]",0.0,104.0,193.0,54.0,0.0,74.0,15.0,135.0,17.0,135.0,1.0,33.0,3.0,4.0,68.0,135.0,33.0,12.0,12.0,25.0,0.0
89,0166FCA1-D971-4417-A8F9-CD1185ED3AAD,2.2,"['Caucasian', '']",0.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
90,147032DA-FA92-4002-A313-C0157B55B781,198.6,"['Caucasian', '', ""I'd rather not answer""]",0.0,240.0,738.0,94.0,0.0,902.0,13.0,52.0,5.0,140.0,7.0,17.0,4.0,2.0,895.0,52.0,15.0,18.0,7.0,9.0,6.0
91,92396E1B-EABD-4369-B866-43DBDB3F638D,18.5,"['Caucasian', 'Not Hispanic or Latino', '']",0.0,21.0,30.0,9.0,1.0,54.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,54.0,0.0,2.0,3.0,0.0,1.0,0.0
92,01781633-3F00-45DC-A5F4-E92F87EDD987,0.8,"['Caucasian', '', 'Caucasian,Other']",0.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
93,018F34AD-2A55-49F2-9A45-336D9D34D80B,1.4,"['Caucasian', '', 'African American']",0.0,2.0,7.0,1.0,0.0,2.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0
94,775743CD-AE89-4866-A5A3-0DDEF53E619F,0.8,"['Caucasian', 'African American', '']",0.0,814.0,2168.0,306.0,9.0,1274.0,139.0,731.0,175.0,1022.0,51.0,272.0,120.0,15.0,1235.0,735.0,302.0,126.0,39.0,291.0,40.0
95,EB005F10-7F4E-4A37-9EED-BDDDAF8372EE,23.7,"['Caucasian', '', 'African American']",0.0,42.0,64.0,25.0,0.0,62.0,5.0,14.0,0.0,42.0,3.0,19.0,0.0,4.0,61.0,14.0,19.0,5.0,1.0,12.0,1.0
96,019646FE-8AF8-4322-8F75-4FA999A5742F,3.8,"['Caucasian', 'Latino or Hispanic', ""I'd rather not answer""]",0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0
97,01A76771-2CF9-4260-8A4C-E6F84AC4FDE4,0.4,['Caucasian'],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
